data_year,state_fips,state_name,geo_fips,geo_name,goods_durable,goods_nondurable,goods_total,services_total,total_pce,data_source,api_dataset,data_collection_date,data_period,seasonally_adjusted,population,total_pce_per_capita,goods_per_capita,services_per_capita,total_pce_growth_rate,data_quality_score
2019,55,Wisconsin,55000,Wisconsin,27828.6,10915.8,79811.8,5955.2,244056.1,BEA,Regional_SAPCE1,2025-06-30 13:51:43.598619,annual,True,5822434,41916.50776977463,13707.63498564346,1022.802491191828,,95.0
2020,55,Wisconsin,55000,Wisconsin,29953.2,11119.0,82432.8,6542.4,238790.5,BEA,Regional_SAPCE1,2025-06-30 13:51:43.598619,annual,True,5893718,40516.1054532979,13986.55314014006,1110.063291117763,-2.1575367302845594,95.0
2021,55,Wisconsin,55000,Wisconsin,35493.3,13559.0,94977.5,7587.0,268655.5,BEA,Regional_SAPCE1,2025-06-30 13:51:43.598619,annual,True,5895908,45566.43353322338,16109.053940461758,1286.8246926512422,12.506778954774166,95.0
2022,55,Wisconsin,55000,Wisconsin,36920.8,13780.7,104196.0,7939.8,294114.1,BEA,Regional_SAPCE1,2025-06-30 13:51:43.598619,annual,True,5892539,49912.966210321225,17682.70010601542,1347.4327450357139,9.476299573245273,95.0
2023,55,Wisconsin,55000,Wisconsin,38583.5,14713.8,107088.0,8056.6,310876.1,BEA,Regional_SAPCE1,2025-06-30 13:51:43.598619,annual,True,5910955,52593.21040339505,18116.869439879003,1362.9946429976205,5.699148731733694,95.0
